Id,User,Text,Date,Request,Polarity 
"1333063990310805510","ibalkany","🎉🎉🎉 On est dimanche Et je naurais pas le droit de squatter loreiller de Patrick Balkany pour faire la sieste  Non mais zut alors  ","Sun Nov 29 16:03:17 CET 2020","dimanche",4 
"1333063983268564994","papichuloparis"," Un dimanche en compagnie dun cours de procédures administratives 😢","Sun Nov 29 16:03:15 CET 2020","dimanche",2 
"1333063978344443904","EMMANUEL6IX9INE","Notre DIEU n’est pas un dieu de pacotille il est le vrai DIEU Que DIEU vous bénisse Bon dimanche ","Sun Nov 29 16:03:14 CET 2020","dimanche",4 
"1333063973827207172","CercleRoi","MANIFESTATION  Acte III Nous étions les 31e 32e 33e exclus des messes par une décision gouvernementale insensée  discriminante Finalement la justice nous aura donné raison Victoire  Merci à tous les « combattants de la dernière heure »  Saint 1er dimanche de l’Avent  ","Sun Nov 29 16:03:13 CET 2020","dimanche",4 
"1333063966294237185","lecho","La dernière éolienne du parc éolien offshore  au large dOstende a été installée dimanche en présence de la ministre de lEnergie     ","Sun Nov 29 16:03:11 CET 2020","dimanche",4 
"1333063927564038146","date3minutes","Nous sommes le Dimanche 29 Novembre 2020 et il est actuellement 1603","Sun Nov 29 16:03:02 CET 2020","dimanche",2 
"1333063917946417155","leshautspronos","👨‍🍳 Les tournées du dimanche 🍻 Les apéros buteurs 🇩🇰 Nordsjaelland  Aarhus 18h 👟 Mortensen à 217 🇧🇻 Kristiansund  Ströms 18h 👟 Pellegrino à 181 En combiné côte à 393🚨 Ceux qui sont autre part que betclic le 3ème buteur cest Paixao pour Lechia✌ si tu suis ♻️❤ ","Sun Nov 29 16:02:59 CET 2020","dimanche",4 
"1333063907213185025","mujioliko","   Waoooow 🥰🥰🥰🥰🥰🥰🥰🥰🥰 Bon dimanche à toi aussi","Sun Nov 29 16:02:57 CET 2020","dimanche",2 
"1333063881233739783","BertoliniJeanne","Dimanche 29 novembre dans le Finistère  15 degrés     ","Sun Nov 29 16:02:51 CET 2020","dimanche",2 
"1333063873088409600","BRog67911950"," Même du Canada ou d’ailleurs dans la diaspora Fret Veuillez confirmer Bon dimanche ","Sun Nov 29 16:02:49 CET 2020","dimanche",2 
"1333063858341208067","highapmgirl","C’est dimanche ","Sun Nov 29 16:02:45 CET 2020","dimanche",0 
"1333063850552418307","Fusawashii","La f1 chaque dimanche tu risques ta vie","Sun Nov 29 16:02:43 CET 2020","dimanche",4 
"1333063849516421124","PralineDheula","Je ne considérerai mon dimanche réussi que quand jaurai tué le pape Nappelez pas la policeje joue à Blasphemous ","Sun Nov 29 16:02:43 CET 2020","dimanche",4 
"1333063832961507328","nonowhore","Vraiment trop nuls les dimanche","Sun Nov 29 16:02:39 CET 2020","dimanche",0 
"1333063801109950466","babystayloading","okkk je viens davoir ma dose de comfort de la semaine vivement dimanche 😭😭😭","Sun Nov 29 16:02:31 CET 2020","dimanche",0 
"1333069620211806209","nathan_cau1","1200 pour ce soir super","Sun Nov 29 16:25:39 CET 2020","ce soir",4 
"1333069605246562308","benarfinhoss"," Tu t’es gaver je vais refaire un all un ce soir avec sa liste perso","Sun Nov 29 16:25:35 CET 2020","ce soir",0 
"1333069592676028418","blog_chgiz","Actualité  Conseil confinement  ce soir on montre les muscles avec The Punisher sur Netflix  ","Sun Nov 29 16:25:32 CET 2020","ce soir",2 
"1333069576750370821","LaConfiture2020","La confiture revient ce soir  Au programme  des quiz un blindtest et un invité surprise  Rendez vous ce dimanche à 18h pour jouer avec nous ","Sun Nov 29 16:25:28 CET 2020","ce soir",4 
"1333069520307712002","xzwwx"," JSXJSJSJSJSJJS VRMT cetait incroyable lhistoire mais NN WSH les sons et tt c mirt ce soir on dort pas","Sun Nov 29 16:25:15 CET 2020","ce soir",4 
"1333069477844578313","sweetglitts","Ce soir Go prendre une plaquette de somnifère pour dormir pendant 5 jours","Sun Nov 29 16:25:05 CET 2020","ce soir",2 
